time,open,high,low,close
2026-07-14T22:55:00-05:00,30015.5,30016.75,30012,30015
2026-07-14T22:56:00-05:00,30015.5,30017,30012,30017
2026-07-14T22:57:00-05:00,30017.25,30019.25,30010.25,30011
2026-07-14T22:58:00-05:00,30011.25,30014,30010.75,30014
2026-07-14T22:59:00-05:00,30012.25,30015.25,30011,30012.5
2026-07-14T23:00:00-05:00,30012.75,30016.5,30012.75,30015.5
2026-07-14T23:01:00-05:00,30013.75,30016,30012.25,30015
2026-07-14T23:02:00-05:00,30014.5,30014.5,30009.25,30010.5
2026-07-14T23:03:00-05:00,30009,30012.25,30005,30010.75
2026-07-14T23:04:00-05:00,30011.25,30013.25,30008,30009.25
2026-07-14T23:05:00-05:00,30008.5,30009.25,30003.5,30003.75
2026-07-14T23:06:00-05:00,30004,30007.5,30003.25,30005
2026-07-14T23:07:00-05:00,30004.75,30004.75,30000.75,30001.5
2026-07-14T23:08:00-05:00,30001.5,30002.25,29997.5,30001
2026-07-14T23:09:00-05:00,30000.25,30002,29995.75,29997.75
2026-07-14T23:10:00-05:00,29997.75,30001.75,29997,30001.75
2026-07-14T23:11:00-05:00,30002.75,30006.25,30001.75,30003.75
2026-07-14T23:12:00-05:00,30005.75,30006.75,30000.5,30006.5
